FIRST SEEN,FILE TYPE,COUNTRY,SIZE,SIGNATURE,SHA256,DELIVERY METHOD
2023-03-23 17:17:04,exe,US,1016320,,4c4afc338f36282d6254874f9c2dd987ef0df5649807e02c291cee5fec4d35c5,web_download
2023-03-23 17:11:53,vbs,US,91102,Emotet,31fb4bf411dcd7fcb860bdb1db26859290b047b39b94638a7d4fd2a46d323e98,
2023-03-23 17:09:22,dll,US,493448,,89ee24960aaacf60cdd51d644b7c170235d846b560307b7d402431d5e785ebd3,
2023-03-23 17:08:53,js,US,78405,,3ea11f515eb42ed351b3e53855097b35dcf00a9faf9fd868299b71fb4e34847e,
2023-03-23 17:08:42,html,US,232444,,9fd86d185a1837b9dbc5c2f5719fe7b260b226a1e1c7e8a9f14da1c97f7b13d3,
2023-03-23 16:57:30,js,US,152877,,2a569f4515241511f01a2488164c7054842649485b0313e97b3240380e1b1ef9,
2023-03-23 16:53:00,exe,,255488,,25e47e9a6f3a3e0fe5301a3c5da1de51e3dc9734c04512b3275a6b27dbbadbdd,web_drive-by
2023-03-23 16:48:05,exe,,796672,,22a276583ef717ae772867c3f9018fffd4db027c86133f3497d2b002f4910d54,other
2023-03-23 16:47:51,exe,,264272,,6cd0a2683c53ae90f82a6023e0a0a0793e9a5e9d3388055615df2d950c831aea,web_drive-by
2023-03-23 16:43:01,elf,,56727,Mirai,4a5f14939f3fb49453b2df8c421272cbc6f045091b362c7b392509c5baf9ab53,web_download
2023-03-23 16:42:52,elf,,65135,Mirai,65378bb25832ecd91b59d85241a9e3a1e1f56965a7ea8df8572f4528dd52f3cd,web_download
2023-03-23 16:42:36,exe,,1526472,CoinMiner,180636e998f46837753d0fcec286bcecf19451fbb12bf686cab39d9624a85e17,web_drive-by
2023-03-23 16:40:25,exe,,336312,RedLineStealer,5e1d5e8a9515f2eee1df200008a4740c47735a0566b5d085404de1c041ee82e4,
2023-03-23 16:33:48,elf,,59019,Mirai,2a3e423fdd330390d81fb10ba8e596d4d7c9b14a50cba414f427e7d93c434707,web_download
2023-03-23 16:33:41,exe,,264272,,dd00bd0c7152aa6be1e2a3ff69bcede3ace51bafc28b03fb14d82aaef9db5736,web_drive-by
2023-03-23 16:33:41,elf,,57734,Mirai,fa65450017aab458fa656d7ca79fdee6596f1609dfb85456008d3c592641707a,web_download
2023-03-23 16:32:23,elf,,65535,Mirai,239878fe3034ec1f139c0a6b9c9d51cd4d7cb94d6905969658ee8ec9c895ca40,web_download
2023-03-23 16:32:16,exe,,361917,Formbook,d341b6fe8642df50756dfc1fd18bf37e605718a7b6c2944d117b3a8bf13b4650,web_download
2023-03-23 16:32:09,elf,,55714,Mirai,dc8d128a7875a52c337b6b346ec63d86eeff662b95d9cee107ceae2297f6294c,web_download
