DELIVERY METHOD,YARA RULES,VENDOR INTEL
web_drive-by,,"{'ANY.RUN': [{'malware_family': 'redline', 'verdict': 'Malicious activity', 'file_name': 'file', 'date': '2023-03-24 19:48:39', 'analysis_url': 'https://app.any.run/tasks/7a84c0e8-0ee5-4f18-a8b0-67446ab478ae', 'tags': ['rat', 'redline']}], 'CERT-PL_MWDB': {'detection': None, 'link': 'https://mwdb.cert.pl/sample/15f497477ed80181c3edbbee767fd29efb2277f07785e4d2f0010fea93625edf/'}, 'vxCube': {'verdict': 'malware2', 'maliciousness': '100', 'behaviour': [{'threat_level': 'suspicious', 'rule': 'Sending a TCP request to an infection source'}, {'threat_level': 'suspicious', 'rule': 'Stealing user critical data'}, {'threat_level': 'neutral', 'rule': 'Searching for the window'}, {'threat_level': 'neutral', 'rule': 'Using the Windows Management Instrumentation requests'}, {'threat_level': 'neutral', 'rule': 'Reading critical registry keys'}, {'threat_level': 'neutral', 'rule': 'Creating a file'}, {'threat_level': 'neutral', 'rule': 'Launching the default Windows debugger (dwwin.exe)'}]}, 'Intezer': {'verdict': 'malicious', 'family_name': 'Malicious Packer', 'analysis_url': 'https://analyze.intezer.com/analyses/591dc26c-2bc4-4b1d-bbd6-e493b44f7708?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'UNKNOWN', 'url': None, 'details': [{'category': 'info', 'title': 'Windows PE Executable', 'description': 'Found a Windows Portable Executable (PE) binary. Depending on context, the presence of a binary is suspicious or malicious.'}]}, 'Triage': {'malware_family': 'redline', 'score': '10', 'link': 'https://tria.ge/reports/230324-ygys8abb4t/', 'tags': ['family:redline', 'botnet:@germany', 'discovery', 'infostealer', 'spyware', 'stealer'], 'signatures': [{'signature': 'RedLine', 'score': '10'}, {'signature': 'RedLine payload', 'score': '10'}, {'signature': 'Reads user/profile data of web browsers', 'score': '7'}, {'signature': 'Checks installed software on the system', 'score': '6'}, {'signature': 'Program crash', 'score': '3'}, {'signature': 'Suspicious behavior: EnumeratesProcesses', 'score': None}, {'signature': 'Suspicious use of AdjustPrivilegeToken', 'score': None}], 'malware_config': [{'extraction': 'c2', 'family': 'redline', 'c2': '185.11.61.125:22344'}]}, 'ReversingLabs': {'threat_name': 'Win32.Ransomware.Generic', 'status': 'SUSPICIOUS', 'first_seen': '2023-03-24 19:46:06', 'scanner_count': '37', 'scanner_match': '13', 'scanner_percent': '35.14'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'UnpacMe': [{'sha256_hash': '6795dbb5efc32fb90da0deb66b9b9f79bca2b9c04ba85e11b99c1486e24dfa98', 'md5_hash': 'ea0399f40f9700d5b1ed80130ccd44cb', 'sha1_hash': 'e7d6a471e9e45918e8662edfa6a6325bd6daedf5', 'detections': [], 'link': 'https://www.unpac.me/results/ecfb1b1d-1295-4ea0-83c1-d16a232f8b9c/'}, {'sha256_hash': '933bf82c604fd7c120a0a917b911fad8bc85f511145ca69154cc37117a6cb622', 'md5_hash': 'a7e517d69251dfc2f8376b71eb0d8403', 'sha1_hash': 'bb9268ac5ec3cd12a1c37e01e40f34f9d91fab9b', 'detections': ['redline'], 'link': 'https://www.unpac.me/results/ecfb1b1d-1295-4ea0-83c1-d16a232f8b9c/'}, {'sha256_hash': '0a354633ad8f70d2b069fde958c1f0e7ca37b6539347b0c7f4117be331b99e51', 'md5_hash': '37d310169cbf1c089ec3f2ee44937c86', 'sha1_hash': '191c9143818bf21347115bd87bcfe53c05fd324b', 'detections': ['redline'], 'link': 'https://www.unpac.me/results/ecfb1b1d-1295-4ea0-83c1-d16a232f8b9c/'}, {'sha256_hash': '15f497477ed80181c3edbbee767fd29efb2277f07785e4d2f0010fea93625edf', 'md5_hash': 'b74a84974756f6c0901398f51aa691ee', 'sha1_hash': 'bed7e886422bc35c5e34eb247d0d0405450c0a0c', 'detections': [], 'link': 'https://www.unpac.me/results/ecfb1b1d-1295-4ea0-83c1-d16a232f8b9c/'}], 'FileScan-IO': {'verdict': 'SUSPICIOUS', 'threatlevel': '0.5', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfdfb80ca4ca1ff58fa2b/reports/06a34134-e8f3-4b67-921d-343ec3727a12/overview'}}"
web_drive-by,,"{'ANY.RUN': [{'malware_family': 'smoke', 'verdict': 'Malicious activity', 'file_name': 'file', 'date': '2023-03-24 19:42:39', 'analysis_url': 'https://app.any.run/tasks/ce1c0aae-5654-4616-a7f0-786845090187', 'tags': ['loader', 'smoke', 'trojan']}], 'CERT-PL_MWDB': {'detection': None, 'link': 'https://mwdb.cert.pl/sample/5ec9843a2aee2813c1d99bda8df3a2518457867e63522a5b2075d30b7eead0d5/'}, 'vxCube': {'verdict': 'malware2', 'maliciousness': '100', 'behaviour': [{'threat_level': 'malicious', 'rule': 'Unauthorized injection to a system process'}, {'threat_level': 'malicious', 'rule': 'Enabling autorun by creating a file'}, {'threat_level': 'malicious', 'rule': 'Sending an HTTP POST request to an infection source'}, {'threat_level': 'suspicious', 'rule': 'Query of malicious DNS domain'}, {'threat_level': 'neutral', 'rule': 'Searching for the window'}, {'threat_level': 'neutral', 'rule': 'Searching for synchronization primitives'}, {'threat_level': 'neutral', 'rule': 'Sending a custom TCP request'}, {'threat_level': 'neutral', 'rule': 'Сreating synchronization primitives'}, {'threat_level': 'neutral', 'rule': 'Creating a file in the %AppData% directory'}, {'threat_level': 'neutral', 'rule': ""Enabling the 'hidden' option for recently created files""}, {'threat_level': 'neutral', 'rule': 'DNS request'}, {'threat_level': 'neutral', 'rule': 'Sending an HTTP POST request'}, {'threat_level': 'neutral', 'rule': 'Creating a process from a recently created file'}]}, 'Intezer': {'verdict': 'no_threats', 'family_name': None, 'analysis_url': 'https://analyze.intezer.com/analyses/3e5d1280-ce1c-46a4-b43f-ee5c4c01b89a?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'UNKNOWN', 'url': None, 'details': [{'category': 'info', 'title': 'Windows PE Executable', 'description': 'Found a Windows Portable Executable (PE) binary. Depending on context, the presence of a binary is suspicious or malicious.'}]}, 'CAPE': {'detection': 'SmokeLoader', 'link': 'https://www.capesandbox.com/analysis/377189/'}, 'Triage': {'malware_family': 'smokeloader', 'score': '10', 'link': 'https://tria.ge/reports/230324-ydhylagh93/', 'tags': ['family:redline', 'family:smokeloader', 'botnet:koreamon', 'botnet:pub4', 'backdoor', 'discovery', 'infostealer', 'spyware', 'stealer', 'trojan'], 'signatures': [{'signature': 'RedLine', 'score': '10'}, {'signature': 'RedLine payload', 'score': '10'}, {'signature': 'SmokeLoader', 'score': '10'}, {'signature': 'Downloads MZ/PE file', 'score': '8'}, {'signature': 'Executes dropped EXE', 'score': '7'}, {'signature': 'Reads user/profile data of web browsers', 'score': '7'}, {'signature': 'Checks installed software on the system', 'score': '6'}, {'signature': 'Program crash', 'score': '3'}, {'signature': 'Checks SCSI registry key(s)', 'score': None}, {'signature': 'Modifies registry class', 'score': None}, {'signature': 'Suspicious behavior: EnumeratesProcesses', 'score': None}, {'signature': 'Suspicious behavior: GetForegroundWindowSpam', 'score': None}, {'signature': 'Suspicious behavior: MapViewOfSection', 'score': None}, {'signature': 'Suspicious use of AdjustPrivilegeToken', 'score': None}, {'signature': 'Suspicious use of WriteProcessMemory', 'score': None}, {'signature': 'Uses Task Scheduler COM API', 'score': None}], 'malware_config': [{'extraction': 'c2', 'family': 'smokeloader', 'c2': 'http://aapu.at/tmp/'}, {'extraction': 'c2', 'family': 'smokeloader', 'c2': 'http://poudineh.com/tmp/'}, {'extraction': 'c2', 'family': 'smokeloader', 'c2': 'http://firsttrusteedrx.ru/tmp/'}, {'extraction': 'c2', 'family': 'smokeloader', 'c2': 'http://kingpirate.ru/tmp/'}, {'extraction': 'c2', 'family': 'redline', 'c2': 'koreamonitoring.com:80'}]}, 'ReversingLabs': {'threat_name': 'Win32.Ransomware.Generic', 'status': 'SUSPICIOUS', 'first_seen': '2023-03-24 19:40:08', 'scanner_count': '37', 'scanner_match': '13', 'scanner_percent': '35.14'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'UnpacMe': [{'sha256_hash': '8d425e3a777589dc02bb08b9819d78478b14055dd9eebc67dc9caea5ddef1c6d', 'md5_hash': '10bffe181eeb6feb30b4fbb0e7c7077c', 'sha1_hash': '20a7946348367cdb9e50ef304310924904726843', 'detections': ['SmokeLoaderStage2', 'win_smokeloader_a2'], 'link': 'https://www.unpac.me/results/3603b812-54b3-4c66-8940-45cc5f16ea6a/'}, {'sha256_hash': '5ec9843a2aee2813c1d99bda8df3a2518457867e63522a5b2075d30b7eead0d5', 'md5_hash': '74d94dab71aecc2af6b9a98df84e9c1c', 'sha1_hash': '4c8e540e20399b74c2161b756e198645a24990fb', 'detections': [], 'link': 'https://www.unpac.me/results/3603b812-54b3-4c66-8940-45cc5f16ea6a/'}], 'FileScan-IO': {'verdict': 'SUSPICIOUS', 'threatlevel': '0.5', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfc9380ca4ca1ff58f9d7/reports/c2ca7047-babe-4f84-ba1b-6ec45eb3cfd9/overview'}}"
web_download,"[{'rule_name': 'linux_generic_ipv6_catcher', 'author': '@_lubiedo', 'description': 'ELF samples using IPv6 addresses', 'reference': None}, {'rule_name': 'SUSP_ELF_LNX_UPX_Compressed_File', 'author': 'Florian Roth (Nextron Systems)', 'description': 'Detects a suspicious ELF binary with UPX compression', 'reference': 'Internal Research'}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/6d43f0f2b9139c5c9e4552642dc8629775367c521c024ed355dd636de35a51c8/'}, 'Intezer': {'verdict': 'malicious', 'family_name': 'Mirai', 'analysis_url': 'https://analyze.intezer.com/analyses/e328cd6f-418d-4e26-9a73-d7c3bb5ba86d?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': None, 'score': '9', 'link': 'https://tria.ge/reports/230324-ya9bdaba81/', 'tags': ['discovery', 'linux', 'upx'], 'signatures': [{'signature': 'Contacts a large (105593) amount of remote hosts', 'score': '9'}, {'signature': 'Creates a large amount of network flows', 'score': '9'}], 'malware_config': []}, 'ReversingLabs': {'threat_name': 'Linux.Trojan.Mirai', 'status': 'MALICIOUS', 'first_seen': '2023-03-24 19:36:06', 'scanner_count': '37', 'scanner_match': '17', 'scanner_percent': '45.95'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfba423f92296f1f0b6b2/reports/42895af8-8ef8-4ff1-85e7-e4ea4e1c9f67/overview'}}"
web_download,"[{'rule_name': 'myMirai', 'author': None, 'description': 'Mirai', 'reference': None}, {'rule_name': 'unixredflags3', 'author': 'Tim Brown @timb_machine', 'description': 'Hunts for UNIX red flags', 'reference': None}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/31653adc62bef06d75b62bf827452295a2762350db30e802bdb2b201cb16cae1/'}, 'Intezer': {'verdict': 'malicious', 'family_name': 'Mirai', 'analysis_url': 'https://analyze.intezer.com/analyses/5df86ebe-6b56-486f-b675-4a02b75b51fa?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': 'mirai', 'score': '10', 'link': 'https://tria.ge/reports/230324-yan1fagh69/', 'tags': ['family:mirai', 'botnet:kyton', 'linux'], 'signatures': [], 'malware_config': []}, 'ReversingLabs': {'threat_name': 'Linux.Trojan.Gafgyt', 'status': 'MALICIOUS', 'first_seen': '2023-03-24 19:35:09', 'scanner_count': '37', 'scanner_match': '20', 'scanner_percent': '54.05'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb6b23f92296f1f0b6af/reports/e18a4044-1351-407e-83e0-6646d517ef10/overview'}}"
web_download,"[{'rule_name': 'linux_generic_ipv6_catcher', 'author': '@_lubiedo', 'description': 'ELF samples using IPv6 addresses', 'reference': None}, {'rule_name': 'SUSP_ELF_LNX_UPX_Compressed_File', 'author': 'Florian Roth (Nextron Systems)', 'description': 'Detects a suspicious ELF binary with UPX compression', 'reference': 'Internal Research'}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/178fbc725d8374a4be15f6d7668a34200dc5cf6294773c34372a12aed72e6c76/'}, 'Intezer': {'verdict': 'unknown', 'family_name': None, 'analysis_url': 'https://analyze.intezer.com/analyses/73be60bc-a5ae-4a2c-8f31-aab41dd88ed9?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': None, 'score': '7', 'link': 'https://tria.ge/reports/230324-yan1faba8x/', 'tags': ['linux', 'upx'], 'signatures': [], 'malware_config': []}, 'ReversingLabs': {'threat_name': 'Linux.Trojan.Mirai', 'status': 'MALICIOUS', 'first_seen': '2023-03-24 19:35:08', 'scanner_count': '37', 'scanner_match': '13', 'scanner_percent': '35.14'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb6a8f3f4544f6cbd7cc/reports/bff3ffe7-2efe-43cf-b600-3d7bb8fcfa7a/overview'}}"
web_download,"[{'rule_name': 'linux_generic_ipv6_catcher', 'author': '@_lubiedo', 'description': 'ELF samples using IPv6 addresses', 'reference': None}, {'rule_name': 'SUSP_ELF_LNX_UPX_Compressed_File', 'author': 'Florian Roth (Nextron Systems)', 'description': 'Detects a suspicious ELF binary with UPX compression', 'reference': 'Internal Research'}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/41a64a3d09cbce2bdc7b8f6d3b11133cfda7b41689ad69092e53c456c4edad45/'}, 'Intezer': {'verdict': 'malicious', 'family_name': 'Mirai', 'analysis_url': 'https://analyze.intezer.com/analyses/623b366e-f669-4005-b7f6-fcf733600cb2?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': None, 'score': '7', 'link': 'https://tria.ge/reports/230324-yanpnsba8w/', 'tags': ['upx'], 'signatures': [{'signature': 'Reads runtime system information', 'score': '5'}], 'malware_config': []}, 'ReversingLabs': {'threat_name': 'Linux.Trojan.Mirai', 'status': 'MALICIOUS', 'first_seen': '2023-03-24 19:35:07', 'scanner_count': '37', 'scanner_match': '11', 'scanner_percent': '29.73'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb69b270ef3bdbe3e633/reports/73a9822c-6a59-41a2-a0b1-00a20a8f81d8/overview'}}"
web_download,"[{'rule_name': 'myMirai', 'author': None, 'description': 'Mirai', 'reference': None}, {'rule_name': 'unixredflags3', 'author': 'Tim Brown @timb_machine', 'description': 'Hunts for UNIX red flags', 'reference': None}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/4588deec548ac01d7e28ebb4d2171ca815e348c5f99223a059c3e4481d01c57d/'}, 'Intezer': {'verdict': 'malicious', 'family_name': None, 'analysis_url': 'https://analyze.intezer.com/analyses/1ac752ba-76fd-4a6d-a39b-f43b3f035e2c?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': None, 'score': '1', 'link': 'https://tria.ge/reports/230324-yanpnsgh68/', 'tags': ['linux'], 'signatures': [], 'malware_config': []}, 'ReversingLabs': {'threat_name': 'Linux.Trojan.Mirai', 'status': 'MALICIOUS', 'first_seen': '2023-03-24 19:35:08', 'scanner_count': '37', 'scanner_match': '19', 'scanner_percent': '51.35'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb67d56d0328e77289cc/reports/9bf98e83-6fcd-48c3-a912-8817a59cae89/overview'}}"
web_download,"[{'rule_name': 'linux_generic_ipv6_catcher', 'author': '@_lubiedo', 'description': 'ELF samples using IPv6 addresses', 'reference': None}, {'rule_name': 'SUSP_ELF_LNX_UPX_Compressed_File', 'author': 'Florian Roth (Nextron Systems)', 'description': 'Detects a suspicious ELF binary with UPX compression', 'reference': 'Internal Research'}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/1ac28519ba288c85c9e01fbaad33587f3d526172cab5cdcd4038d2b552a436d2/'}, 'Intezer': {'verdict': 'unknown', 'family_name': None, 'analysis_url': 'https://analyze.intezer.com/analyses/7610cc21-8679-4909-855b-358f0a82eae2?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'UNKNOWN', 'url': None, 'details': []}, 'Triage': {'malware_family': None, 'score': '9', 'link': 'https://tria.ge/reports/230324-x933zagh59/', 'tags': ['discovery', 'upx'], 'signatures': [{'signature': 'Contacts a large (111241) amount of remote hosts', 'score': '9'}, {'signature': 'Creates a large amount of network flows', 'score': '9'}, {'signature': 'Modifies the Watchdog daemon', 'score': '9'}, {'signature': 'Writes file to system bin folder', 'score': '9'}, {'signature': 'Enumerates active TCP sockets', 'score': '7'}, {'signature': 'Reads system network configuration', 'score': '6'}, {'signature': 'Reads runtime system information', 'score': '5'}], 'malware_config': []}, 'ReversingLabs': {'threat_name': 'Linux.Trojan.Mirai', 'status': 'MALICIOUS', 'first_seen': '2023-03-24 19:35:06', 'scanner_count': '37', 'scanner_match': '16', 'scanner_percent': '43.24'}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb2e6ed02dd52de5462b/reports/4dccf876-882b-4673-ad8f-492f00cb70a2/overview'}}"
web_download,"[{'rule_name': 'SUSP_ELF_LNX_UPX_Compressed_File', 'author': 'Florian Roth (Nextron Systems)', 'description': 'Detects a suspicious ELF binary with UPX compression', 'reference': 'Internal Research'}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/ea36a0dd3a68aa1c4146ab9e44efd4a8854ff40c2de6f03d31b77429c9392798/'}, 'Intezer': {'verdict': 'malicious', 'family_name': 'Mirai', 'analysis_url': 'https://analyze.intezer.com/analyses/2ad1fc77-4a87-4d77-80f8-2b0685c0a277?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': None, 'score': '9', 'link': 'https://tria.ge/reports/230324-x933zagh58/', 'tags': ['discovery', 'upx'], 'signatures': [{'signature': 'Contacts a large (110793) amount of remote hosts', 'score': '9'}, {'signature': 'Creates a large amount of network flows', 'score': '9'}, {'signature': 'Modifies the Watchdog daemon', 'score': '9'}, {'signature': 'Writes file to system bin folder', 'score': '9'}, {'signature': 'Enumerates active TCP sockets', 'score': '7'}, {'signature': 'Reads system network configuration', 'score': '6'}, {'signature': 'Reads runtime system information', 'score': '5'}], 'malware_config': []}, 'ReversingLabs': {'threat_name': None, 'status': 'UNKNOWN', 'first_seen': None, 'scanner_count': None, 'scanner_match': None, 'scanner_percent': None}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb2d8f3f4544f6cbd7b6/reports/48e09d2c-0a4e-45ed-8b7d-59d1a698db72/overview'}}"
web_download,"[{'rule_name': 'myMirai', 'author': None, 'description': 'Mirai', 'reference': None}, {'rule_name': 'unixredflags3', 'author': 'Tim Brown @timb_machine', 'description': 'Hunts for UNIX red flags', 'reference': None}]","{'CERT-PL_MWDB': {'detection': 'mirai', 'link': 'https://mwdb.cert.pl/sample/6972ac6cdb84eec7e259c120689b9ef5391979520b61c93dc57cddada43b2700/'}, 'Intezer': {'verdict': 'malicious', 'family_name': 'Mirai', 'analysis_url': 'https://analyze.intezer.com/analyses/414e77f5-a12e-416b-bbcb-c84351330227?utm_source=MalwareBazaar'}, 'InQuest': {'verdict': 'MALICIOUS', 'url': None, 'details': []}, 'Triage': {'malware_family': 'mirai', 'score': '10', 'link': 'https://tria.ge/reports/230324-x933zaba71/', 'tags': ['family:mirai', 'botnet:kyton', 'linux'], 'signatures': [], 'malware_config': []}, 'ReversingLabs': {'threat_name': None, 'status': 'UNKNOWN', 'first_seen': None, 'scanner_count': None, 'scanner_match': None, 'scanner_percent': None}, 'Spamhaus_HBL': [{'detection': 'suspicious', 'link': 'https://www.spamhaus.org/hbl/'}], 'FileScan-IO': {'verdict': 'MALICIOUS', 'threatlevel': '1', 'confidence': '1', 'report_link': 'https://www.filescan.io/uploads/641dfb2c39ca37cf45d01bc8/reports/66543d61-eec8-4c89-8cc2-55fe252ff227/overview'}}"
